"property_id","surface_total"
"4fa04a187235d7509a43a8cf",NA
"f9cfbb306af543a759c1f3f2",NA
"957a84e8e93ae2b33bc6f61b",NA
"eb32d75b32bc5e8677207fc7",316
"880a6e7bd74dc2568940d275",NA
"847cf8c0907ac512c8a0fc74",253
"a5a8d725bc0813847bab03f1",NA
"8f4986c3d1ffb934558342e9",NA
"835b0b0a59a523fb39bb569e",NA
"61e681bc3574d96b1b8f36a1",NA
"6688f1c06ef81e8aaa584340",NA
"cde56ba411b61f8bda1e2462",NA
"b73d00764c9e0a94aac5b4f7",NA
"03241335538f394cf2bf9647",NA
"8349ebead093a6452883637e",NA
"9460c9fbe2955fdef0e0f4d6",NA
"c26287001c5df25d08030218",NA
"e38088a70c575132d7cfd2b7",NA
"feb994495375dae146299fa4",NA
"de7c2f0648a789db971c0b17",NA
"5ca0cd46a1e5c28fd25fdd65",74
"846c1731216bd1e3b63b7a7c",87
"41c891287b7284e3a5962f6e",115
"fdcf28334ca76670c597fb34",NA
"a748fdc26f41c066561c0ecd",94
"6b8d7d9d8e0636765954415d",160
"8290a144a2267e0bf964c17d",92
"563253dfd164c1a526b9c9aa",NA
"28db029094ff6f9835480aad",178
"728035c102cfb413c2303152",170
"f5d92f861bf992ce3ef086f1",120
"e3d8d7802e2ef441f35e3bdc",NA
"4731febed4a8eb228b792dc9",NA
"9f8235166c895b795743097a",140
"292267c0ab43fcc5a993f76a",140
"2a28834194763e014eaa35eb",76
"01815f1ae3d3bd7cfc9b1047",150
"74d04cfbca166ab77add0f2d",NA
"4e14b0a748475a1a5fa4bc47",78
"b50e5e67c85a1ae1cdf0bf3b",87
"301c8dbf14fb681bb94ea012",109
"65c14986e6a28b9345e84003",98
"b7688a977e260d4d168c4389",110
"32af12d5a1278132e10287ba",70
"85088376c428e4a258910010",108
"309ec655873eeddd339ce4e7",256
"cf5519cfe7695935445e16f2",82
"8278f39270f3b1233032f0b2",262
"3813cd4e8611eeb0653a852d",118
"b6657bd1da5ba39a653b0445",140
"f73279cf26a9b0d4b8f8a1aa",118
"6c1dc6a9c6a6868a26f354c3",322
"982fa7535cb9280a1bbffcbe",202
"82b1bf13d4211f9462fe9e01",320
"52aeb65cc515f03b66e2fc6e",343
"b11c2f1359cf927de40aefad",280
"f446ef51c25f9dd1f53f4aba",NA
"d9505f6ea37d7c0078a041f0",65
"d6a865261fe1e15f62be5e9e",NA
"be295a89f5e8fd6d9d8c072b",NA
"3c22744d099eb4548d4225a5",NA
"5f085ce7d02efecb346efdf0",NA
"45da4ac97ae2a342562fba76",NA
"e4b1af60b83bea12ca2af801",NA
"cbe4f0d8c2c53c46fd11ca84",NA
"473bef947a47fd462f416008",NA
"c0d9f460df4d4df4574c0a5a",NA
"765195b6814f186fb12ce860",NA
"88a5694ec722b9a3e05563cd",NA
"9d7cd2c9346cc44b64b488ff",NA
"3efe31f3a5556ad506c87fc2",NA
"73a60ff718b2c32c81906734",NA
"9006dacc97a42c9e60912c5b",91
"d5f13ff897a076041a60a1b2",64
"54631c707aef6e9387bc1d79",NA
"4c760815356d1c5ae2643699",NA
"10fe013bd5db9a39a4b1fbce",NA
"7d76aadc2740b4a3c4cc7fb7",NA
"b9967425c859b37f1a2cfec2",NA
"81631afb984fdfeb0e71dff9",NA
"3b37c9dec548ed82b6daf9c4",NA
"a283f69c2ff66a51bc76673d",NA
"14e44b682748c0e703d45613",NA
"a9d9be2c4ff459d305269509",NA
"8547c5af5af205919bcb98c2",NA
"122ec30ba744473551ca7243",NA
"15684baf7771dd13d5bb3a73",NA
"ad83b52bed84388321f931ad",NA
"272b75afc943e07089aa8a10",215
"1cc85f713e59199b908a2e7b",150
"b8220fb7ddf4a579c88c318a",NA
"8fe87c95ecdc4e74950bdac1",80
"253bb36b5d5b7ad19ee98b05",NA
"9ddebb01dc2b52317066b889",NA
"6a8cb25f25eee9f2cf6acdd7",NA
"dda3a68d099bb7865fea8b95",NA
"761d3ddda4e77280b21d2283",NA
"f40c9968a05ffa48c7b65233",NA
"555ad229c272f521323204c0",NA
"8db84bd5de71186393d01df4",NA
"9611ddd0c402f5e7588322be",NA
"bb7d8788382711fad30aa16a",81
"9207ee5fe88bf95229dc2405",NA
"92d274e7eeccabc58332fb1e",NA
"c8b7a06c3f062bdfc8753c72",NA
"7a09a4ef9c84b905b59de7ac",NA
"bb76aa417a3e3d1a7535808e",NA
"afd7c78160da1ba94b50dcee",62
"7a6d7a80f3b05429055ce89e",NA
"e779c2a042927d404cc4422e",NA
"8f38374c65e2168a15727db8",NA
"151fb9ef2950c74a46d46234",NA
"614e3592e6fd3a4a92385083",120
"64d5cce955d3896844b27a20",NA
"af8acb1a1aa1c84597be5e3b",NA
"94a472d158efa617390ecaf8",NA
"27b5164875beae6d4633e56b",115
"42a8ccc24fd39027cab909ce",NA
"9212eb07164f6fa1e014f34c",112
"bc513fa0b2fdf85823a2233a",98
"7710bce46ca6bf2ffa8ea801",NA
"5340110eee76639143562b43",NA
"f9663dcc284e83e4163d7747",NA
"10e3e3d22a841ccf5ada63c3",NA
"81ac7c50f45c23ffbf4d3ae7",NA
"641a4a6c04695c9a46cfe0d1",NA
"aebffd5c4c52776e2dc5b380",NA
"aecabf87cd55ecb4426012ec",NA
"1dcd0edbe0e89fd8229fc7a7",NA
"097104a0c9a9529eeb93f205",NA
"15fd5db09d9fc8efb59f1ab5",NA
"b823439a2b194e95da193137",NA
"3077ae7abdddef5d89928879",NA
"e267e06dd33616f6b1f14aaa",127
"58c7b461e1f79dd409c1dbd5",NA
"4882611109e695d1becce965",113
"0bd39bf346fa85ca5e17132a",NA
"50a800498200415f52cae258",400
"c24ac9463aa350c08cb3a19c",NA
"2e1c208938aa983c0827ab80",NA
"55d0dad97a87c8e26fc8678d",NA
"e4310eacf064a34bf4509f4f",NA
"a5d7c3eaacd0d26e5871de7b",NA
"511ebd725348ee5c5b31d254",220
"5d646a83633b1feb6ccc6dde",NA
"922787178fcb9aea7a7fcd87",NA
"9121b4b41ebda6f043dc9964",59
"9641571c1749cd623f2633f7",NA
"6aa5e1189008d105461c25a7",NA
"ef037c87bc1a9e43044815d9",NA
"1ec7989352429bdc290f5ff6",NA
"05f59d29bb564cb0fcf9fc6f",NA
"06957243330165ff783d0ae5",NA
"477d6e633a60d040407bcc11",NA
"03172aa4c3833a4a6b7aafd1",NA
"2a952da2bf5e8861d5ddda4d",NA
"bc0e84cc5fb6f15eb57e8093",NA
"8e26b6aeb32dcbd6fa279075",NA
"907806ec5979a9ff6ece999b",NA
"aaad2494a00eb559a9bdca89",80
"260c32e86b380bf6185ab9bd",NA
"29f2a536d61f42cc8b82a333",NA
"d7c872b4e770ad02774a6ab5",NA
"eaf1f3d4b301021a2ad7d0b6",NA
"222b2759cba947736f357852",NA
"392304a4731800a4ab234ec4",NA
"917e534de35c8af19ef3662c",NA
"8a2867c01fb8a993d726bdda",NA
"b773ab4e0cdc98377c7930d6",NA
"e0772141f796c5fc5824cc59",110
"c77b1a8babb79da127d4084f",NA
"8718133655546b030028046b",NA
"1525ee93cc74757440e4887d",51
"a9c2d7d70e0f462192460843",NA
"640eba4218e7ad60380de035",NA
"734c08c88b51ede7c6ed632f",100
"4b835725c676d812e5925e9a",65
"3e4701772ca607d77038042d",NA
"a9caedc4eb3e7235134cc81e",77
"9318702fdfc5e054a7c3f94a",NA
"a05d471eb383637141f7869a",NA
"3c2d5752b7e0f52c4632c869",70
"75eedf3bfef72dc1cf44e2a6",NA
"45089a75f811a5c4a63a6576",75
"3a3118a2fe4a23a4ddcda3a8",85
"82e80f3e218d3696793551fa",NA
"e382203fea78055a481c1a07",NA
"23d8500593b71e0a3473c49c",NA
"ca7d21980a44e802a8bcb3ed",NA
"e2de8621291d284dcb209e03",59
"e06a6b659db5a3aaabfce140",NA
"f276403c37b94005f3c1c916",134
"9cbb8596fcb47469a34fb38c",110
"40cc7359affb9e1c1e0574b4",NA
"1d44d3ec50b8f3f7b36d29ef",114
"b8bd37d602aafa1461fb69bc",142
"dbfc3e6b0c3aa992851fa7b5",NA
"abe4346403671918ae98f23f",65
"3ccdea8ebb722d3afbc684c3",220
"d2815dcdd85f0106c6438037",140
"0923bcd0568d89de2cc71a1f",NA
"9463dcdcb39d92e0ad22aa12",NA
"8cede0b1c061dd152f85a23e",NA
"cbe488f48e57ef7bed3560a3",99
"1cb10d88b93b4337d5ce7113",NA
"5e2038446771850fc0659cbb",86
"20098db69e8ab1951cdc14b5",89
"f4174493e7633e5af6178948",NA
"acc73c18c17ecb47c3326035",NA
"09b21628f9cae633284c2d80",106
"d525018b0ca49cb1e92ac945",138
"cc912251e69c4fa5550f1e9e",NA
"dacab168b8f41d0929124e5c",NA
"670ac91d2e7d5930302e213c",82
"d136071d4b846b9e9feec77c",NA
"d65f9b2c8ea80507ca7e6322",NA
"9eed94c0d73ec1b3b5b7ac9c",NA
"4112e5b5a5f004c2af3c07d0",122
"57e43f354a43d390c268649e",78
"65ef893e7f55dbab05b687b5",NA
"582ee8f3456c12be7be0a4ee",NA
"347d058b9f34bdc81ff5549d",104
"8dbe8c19023fa7b63e53c2c2",NA
"25c7d06ba0f8b9886d7b051a",NA
"a42be8a714fd34fcb8af54d5",NA
"ca9a42a46f9d88acb2c3e558",NA
"9f0b9f38fa7666d8ace44797",129
"adc481de4349ec9cf9a8cadf",359
"3b10928ab32d5e89c26edc55",113
"dbbe6a6b1ec985a227add088",NA
"fff1c1f3e6704f4333b0ac2a",179
"6850515b860c7ee2bea8436d",201
"b369707128a0ea8494cce566",164
"73fb2d4e83ef4649c7d786b8",318
"a0ba83f910ba33b5f18e5a94",NA
"e0168044ca32b35cb057ab10",NA
"dfd626321eba0dab770471dc",NA
"0e2741544461bdd9c31591d9",NA
"c9373541e95254b22fd12b56",NA
"56e0caa0b76e6796265545b0",58
"cb69f5c4888fa8cc2a3cb6ce",371
"b7142d600d8eb91d313cf8f7",254
"25c202b581791bbd7658519c",196
"dedf760cb575c70b5d202575",140
"631709d84e43d1994eed02ed",NA
"96be8b19acd025cdb1738b1c",NA
"bb023cfce3d0b9346bccb7de",NA
"8cf35450840fcf4d8bc52094",112
"9bde35c8cf2f2f0f6b5dd87e",NA
"0132a99e22adcfbc1fde904f",NA
"7a3ac4bec13227d536971d02",NA
"e9280e41b745f4b19803a260",NA
"7a137d1ebda88ad87b77e32a",NA
"2362b37ece54574b692fbeea",NA
"71ef838cd716a070897c23d6",NA
"13e6c5e06352c4abb3f6afc7",162
"10a3a6d6660c27bccc68bde7",NA
"d675293ec37089307c726f88",91
"4e149eb507666b8f8996cc2c",NA
"baa1851aaf7914745256e9b6",107
"5220d7e9eafdd10d27151147",60
"c9afe38c93e34a03e308c206",96
"a04fb788fbcf63edbe760c07",NA
"55549fd94ca77cd4c6cd7dd8",NA
"62ff9a6639d743e542347e85",NA
"ee8eac44145ba80fafc7cace",NA
"72410609a9bd17dfc94d51f4",322
"30bf2cfb22f764c72f23397d",NA
"f167bdd7c309edba4632b80a",NA
"ae3c9afedf7640d1876c01e9",NA
"2ec9b30eda1a7b49267e4c1d",NA
"d4db184d08a075042926475d",120
"038f5b9cf6bbb7bba448d92b",NA
"bb0d90ddd429ffe86161a087",NA
"8d8add5918077919704847d5",NA
"dad6c20a5db2cb102eabb30b",NA
"ad631725097adf7fd10f5cac",NA
"90571711a19da675da540d2b",NA
"29f5db19dd2082d76d83dfa5",NA
