property_id,price
d56159653f5d2abc5ed5acd7,667702875
45550aa81c0151f1fd9fd8fe,881928655
735deef3382aa15930482f3e,752116499
0dd49fa8bb7be52b851c6dc9,545762303
7d3220a91e78f8bc2924d1cd,1144789078
d3054072b2175deec2c1f8dc,375027539
b7574b06d593fca4eac59815,375027539
79e822115c5c1a4531366001,465396743
d3ed5316a463d38c1bd321d0,1144789078
2f1880c9b8f7ac2715e1236d,881928655
dcca1c7f109175760ff531c6,639388429
dfc4f3facf91bbd93ee0fa4d,375027539
30e134a6cbe61d7954d0f56b,375027539
385fee7bd9ad7722d45dd034,375027539
87199c236bf22903d1aafdd0,375027539
19e19ad0cd6b5e84d8aa970e,375027539
907f968e78d748fde69dd44f,881928655
be094e5db0f784e3aa013aae,465396743
7ab96f83915bc84f8c03c1bd,375027539
07f4aa9b9ff5b0b05d31e6c0,881928655
e9be8cd37abed8ab510ba1f5,881928655
5f6ad58df27b562db077b5ce,602286520
ee96d947484aaace40f9b77f,881928655
15c4aef8401208054697b81e,862318636
22d6cb11333f2839b8112b89,1309892580
288c09c33907dadbae495c11,1271145701
f71d2bca0c5fe2720a1544c4,542112508
451744cf3ce55a98db8a3562,542112508
fba9ae05a6a8a9e0c6268a9f,441840422
1338e58f7dcebf5a1ea59388,363894273
a817e8da0ada143ac87277ee,363894273
46d8bb3e9a0ca584d3c7a317,441840422
b2506aa9463aebf01e1e00ca,375027539
7ec025b9b6e6f33bf65af41b,375027539
2ff531e27672ecd2362eed55,441840422
9b3cf0d1b91b9c6a2a887647,547874826
7db5291ce4602d9b2b266872,465396743
65d5918e826c33bb950fc008,542112508
395c34e4b8f52cbdb0522459,441840422
855f4b67d2bd6d18fd03d8e7,881928655
9ff06409b37e5b5dece4604a,542112508
0508cd7bd2c77ebb6fea1e56,559496062
b45fff2e718e54772d46a3fd,441840422
cf4d2297b73dbc357d21e31b,441840422
0ada7044c5b29925abc90879,881928655
6305f02255274ab5fb6bd39c,602286520
d9a94194ae1350512beff3e6,964955583
e3896296cb80d50d9ad3f903,1144789078
6514f355887c64136edb5595,856372925
f03400cc18e12903b3ffbe5a,881928655
4e134600155a64783b3f8c3e,881928655
d63ebc63c82fbf66d8b6ffd3,881928655
1bd64811bd59706844230198,881928655
a83921284639eedd4a511cb6,713227447
a2f3f7a1cd573e2a33f52e2d,839828904
47344a66471fa51f61c64652,1144789078
78fd849c9429091347d7e5c9,881928655
c3daf2abea55af99c9579319,594961453
52864916eb1984abca41ec66,1086387396
c62494a9d7aede44f2f84023,862318636
a2b576643f7a032371587e5e,856372925
e53bc68f0e97ccead24f3e56,594961453
fd82c710aad91bc90af490fe,881928655
d436abc2ee37ba3dd561e940,1182102584
216a598114a403676011cb51,642431410
ea230d5eccd2b687888173bb,547874826
18bd0dd7580f2a7cb19a90b9,375027539
b143c8ca6d334f6a73c3f2a0,375027539
ab388cb4fa511968783bafee,375027539
6a4f08cd04d558a56af732d9,465396743
7216c895aa047c4f405c4941,465396743
a493488dcd906dc74cf8a604,881928655
7844b0b2bc65dced90a355c6,559496062
c1976383069b6b82ab29d092,441840422
e5cfd99e2308b7b73581dbdc,528424413
c18c2ea88f4ac53970b53d2c,441840422
842c9f0e4edf1e5a672ce15e,1144789078
7dd1e46dcbddc6bf5ef694de,441840422
6cc4f32b39180bd1ec7e117b,881928655
79e643789a85dc4ffad49a25,987256573
b3402a9173d289d6db78e09d,881928655
a446507813234e358db8b573,547874826
c8ef57ddfb35061d1876f94e,570958444
360be0df2c003005e3db080e,1144789078
9ab245a4c91877cb7a8661ce,1144789078
a57a34c7486e7a40e8deb316,1144789078
ceba7d0f56f6cb03538962fb,881928655
d5475993f9db58c3e4baf7a3,881928655
d37a1dda09e30da13ff5bfc3,881928655
68a8b8d077a8232723bf37e9,602286520
e1eea7716ca6490b7640717a,602286520
4ae6d75b10848d259ecba576,881928655
17afbce5c0b56732abbea936,602286520
84a2673eccd3cf3bd7fd3eb0,1086387396
f2f4e6cbafe527b155707f01,1309892580
de2e3a592cda5b76c9573c5c,862318636
fac651cf404a58f24dc7d286,1309892580
e6f312a0877af26b69855a3d,1309892580
333a643c623a9bc75f3a40f2,1309892580
64593641e470908ef23b46cb,856372925
ce9f2f0071be658ae75ca6f9,832550565
9ab385e399a4673732b6a799,1152384748
3429c774b736cefc051e2c55,559496062
a51ad0372758b2bbfe73f8fd,881928655
8c801a266256e3fbabe7e3d2,375027539
ca2f81b8fb6fda20aefb0ccb,594961453
3c1b1f86087f9b99380e387c,881928655
b0cad5d612954b8cab18101c,862318636
7eb991f4c69215377e4dac8f,881928655
0d130b8bea4321300396fa34,1309892580
8dfa059401e1dca80ae65ae1,881928655
3e3f264cd0ac7a65ed2349a2,1144789078
112dce80bf512f3f24391d23,441840422
ff25ded6333278149f8fb68f,1144789078
d555b82c192794e87e9d536f,881928655
a787382d96ef9fce8f27bc70,1144789078
8c3aa295f7bcfd9a43eb2037,964955583
13ac95652fb3cf6c43dafc66,441840422
42fc6a80b882c32f6264ac10,363894273
1e9c53e09220d689a0210ab9,375027539
3348706086aa3db5c92259c3,465396743
66d402a9b7d05f29282ddb00,881928655
cf88be51d6f31c10e5868ff7,528424413
30b3f38716be209a894b0942,375027539
0a5908a92d0ba3e36f54b1f3,465396743
dd206b6ea2d7f6555109ea39,375027539
c641febd8bc2ece3e4d2d8b6,594961453
c11fdc02a288af0572a2bca1,881928655
35dc60a65969b264ab283d6d,510849347
d9cb0f637cd4feaaaf8a21c0,1055258035
7e8dfae9a5f1faf8afa706f7,654131082
a280fe7610c254b935c9dcfc,881928655
85524880fdc4e4daf90e96fd,375027539
f361109d06f6609c16724b39,542112508
3f6b2f0c0876c21755369cb6,602286520
de26819064a290ce78d8fcc1,510849347
91be1260a84ab7fa3521c495,1144789078
18c8dc4549d38c918af2972e,644619618
782b0fb8641849c2c34291e6,375027539
